"","Global_active_power","Global_reactive_power","Voltage","Sub_metering_1","Sub_metering_2","Sub_metering_3","Datetime"
"1",0.326,0.128,243.15,0,0,0,2007-02-01 00:00:00
"2",0.326,0.13,243.32,0,0,0,2007-02-01 00:01:00
"3",0.324,0.132,243.51,0,0,0,2007-02-01 00:02:00
"4",0.324,0.134,243.9,0,0,0,2007-02-01 00:03:00
"5",0.322,0.13,243.16,0,0,0,2007-02-01 00:04:00
"6",0.32,0.126,242.29,0,0,0,2007-02-01 00:05:00
"7",0.32,0.126,242.46,0,0,0,2007-02-01 00:06:00
"8",0.32,0.126,242.63,0,0,0,2007-02-01 00:07:00
"9",0.32,0.128,242.7,0,0,0,2007-02-01 00:08:00
"10",0.236,0,242.89,0,0,0,2007-02-01 00:09:00
"11",0.226,0,243,0,0,0,2007-02-01 00:10:00
"12",0.224,0,242.5,0,0,0,2007-02-01 00:11:00
"13",0.224,0,242.18,0,0,0,2007-02-01 00:12:00
"14",0.224,0,242.15,0,0,0,2007-02-01 00:13:00
"15",0.224,0,242.73,0,0,0,2007-02-01 00:14:00
"16",0.26,0,242.85,0,0,0,2007-02-01 00:15:00
"17",0.304,0.096,242.89,0,0,0,2007-02-01 00:16:00
"18",0.302,0.096,242.87,0,0,0,2007-02-01 00:17:00
"19",0.302,0.094,242.19,0,0,0,2007-02-01 00:18:00
"20",0.3,0.094,242.23,0,0,0,2007-02-01 00:19:00
"21",0.3,0.094,242.16,0,0,0,2007-02-01 00:20:00
"22",0.298,0.094,242.29,0,0,0,2007-02-01 00:21:00
"23",0.298,0.094,242.47,0,0,0,2007-02-01 00:22:00
"24",0.296,0.094,242.32,0,0,0,2007-02-01 00:23:00
"25",0.296,0.096,242.98,0,0,0,2007-02-01 00:24:00
"26",0.298,0.1,243.65,0,0,0,2007-02-01 00:25:00
"27",0.228,0,243.55,0,0,0,2007-02-01 00:26:00
"28",0.226,0,243.11,0,0,0,2007-02-01 00:27:00
"29",0.226,0,243.09,0,0,0,2007-02-01 00:28:00
"30",0.226,0,243.05,0,0,0,2007-02-01 00:29:00
"31",0.226,0,243.22,0,0,0,2007-02-01 00:30:00
"32",0.226,0,243.37,0,0,0,2007-02-01 00:31:00
"33",0.226,0,243.14,0,0,0,2007-02-01 00:32:00
"34",0.226,0,243.12,0,0,0,2007-02-01 00:33:00
"35",0.322,0.094,242.74,0,0,0,2007-02-01 00:34:00
"36",0.336,0.126,242.59,0,0,0,2007-02-01 00:35:00
"37",0.332,0.126,242.91,0,0,0,2007-02-01 00:36:00
"38",0.332,0.13,243.51,0,0,0,2007-02-01 00:37:00
"39",0.33,0.13,243.65,0,0,0,2007-02-01 00:38:00
"40",0.328,0.128,243.37,0,0,0,2007-02-01 00:39:00
"41",0.328,0.13,243.79,0,0,0,2007-02-01 00:40:00
"42",0.326,0.128,243.23,0,0,0,2007-02-01 00:41:00
"43",0.324,0.126,242.98,0,0,0,2007-02-01 00:42:00
"44",0.322,0.126,242.95,0,0,0,2007-02-01 00:43:00
"45",0.322,0.124,242.6,0,0,0,2007-02-01 00:44:00
